genome	depth	basecalling	assembler	errors
Streptococcus_pyogenes_RDH275	45	duplex	canu	3
Streptococcus_pyogenes_RDH275	45	duplex	flye	1
Streptococcus_pyogenes_RDH275	45	duplex	miniasm	9
Streptococcus_pyogenes_RDH275	45	duplex	necat	70
Streptococcus_pyogenes_RDH275	45	duplex	nextdenovo	4
Streptococcus_pyogenes_RDH275	45	duplex	raven	2
Streptococcus_pyogenes_RDH275	45	duplex	trycycler	0
Streptococcus_pyogenes_RDH275	50	simplex	canu	11
Streptococcus_pyogenes_RDH275	50	simplex	flye	3
Streptococcus_pyogenes_RDH275	50	simplex	miniasm	9
Streptococcus_pyogenes_RDH275	50	simplex	necat	12
Streptococcus_pyogenes_RDH275	50	simplex	nextdenovo	3
Streptococcus_pyogenes_RDH275	50	simplex	raven	4
Streptococcus_pyogenes_RDH275	50	simplex	trycycler	2
Streptococcus_pyogenes_RDH275	50	duplex	canu	5
Streptococcus_pyogenes_RDH275	50	duplex	flye	2
Streptococcus_pyogenes_RDH275	50	duplex	miniasm	7
Streptococcus_pyogenes_RDH275	50	duplex	necat	7
Streptococcus_pyogenes_RDH275	50	duplex	nextdenovo	3
Streptococcus_pyogenes_RDH275	50	duplex	raven	9
Streptococcus_pyogenes_RDH275	50	duplex	trycycler	2
Streptococcus_pyogenes_RDH275	55	simplex	canu	3
Streptococcus_pyogenes_RDH275	55	simplex	flye	3
Streptococcus_pyogenes_RDH275	55	simplex	miniasm	24
Streptococcus_pyogenes_RDH275	55	simplex	necat	33
Streptococcus_pyogenes_RDH275	55	simplex	nextdenovo	4
Streptococcus_pyogenes_RDH275	55	simplex	raven	2
Streptococcus_pyogenes_RDH275	55	simplex	trycycler	0
Streptococcus_pyogenes_RDH275	55	duplex	canu	4
Streptococcus_pyogenes_RDH275	55	duplex	flye	2
Streptococcus_pyogenes_RDH275	55	duplex	miniasm	9
